"location","depth","plant","res","variable","value","value_kg_y"
"Out","shallow","floating leaves","res3","Pseq1..gP.m.2.y.1.",1.097312326,307.465816432874
"Out","shallow","floating leaves","res3","Pseq1..gP.m.2.y.1.",0.615981166,172.597306732034
"Out","shallow","floating leaves","res3","Pseq1..gP.m.2.y.1.",0.565421687,158.430591275713
"Out","intermediate","cattail","res2","Pseq1..gP.m.2.y.1.",2.972891566,279.52612949315
"Out","intermediate","cattail","res2","Pseq1..gP.m.2.y.1.",0.710676635,66.821370605875
"Out","deep","open water","res1","Pseq1..gP.m.2.y.1.",1.169277108,327.630276384492
"Out","deep","open water","res1","Pseq1..gP.m.2.y.1.",0.86457953,242.25431972647
"Back","shallow","floating leaves","res3","Pseq1..gP.m.2.y.1.",0.875325301,245.265274014899
"Back","shallow","floating leaves","res3","Pseq1..gP.m.2.y.1.",0.445333573,124.782021821027
"Back","shallow","floating leaves","res3","Pseq1..gP.m.2.y.1.",0.309509884,86.724359986916
"Back","intermediate","cattail","res2","Pseq1..gP.m.2.y.1.",1.151130504,108.2350456386
"Back","intermediate","cattail","res2","Pseq1..gP.m.2.y.1.",1.049322918,98.66258736495
"Back","deep","open water","res1","Pseq1..gP.m.2.y.1.",1.339971084,375.458557765716
"Back","deep","open water","res1","Pseq1..gP.m.2.y.1.",0.654139299,183.289177440501
"Back","deep","open water","res1","Pseq1..gP.m.2.y.1.",0.839891335,235.336712175665
"Mid estuary","shallow","floating leaves","res3","Pseq1..gP.m.2.y.1.",1.419236213,397.668567646387
"Mid estuary","shallow","floating leaves","res3","Pseq1..gP.m.2.y.1.",0.409005495,114.602930693505
"Mid estuary","shallow","floating leaves","res3","Pseq1..gP.m.2.y.1.",0.361867934,101.395033238866
"Mid estuary","intermediate","cattail","res2","Pseq1..gP.m.2.y.1.",1.143178893,107.487395414325
"Mid estuary","intermediate","cattail","res2","Pseq1..gP.m.2.y.1.",0.564778285,53.103278247125
"Mid estuary","deep","open water","res1","Pseq1..gP.m.2.y.1.",2.411337349,675.654313852451
"Mid estuary","deep","open water","res1","Pseq1..gP.m.2.y.1.",1.205662402,337.825399377998
